"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"96","Decision influencer","Wisconsin",40,61,61,0,0,0,0,0,0,0,0,0
"97","Farmer","Wisconsin",1012,976,607,0,41.4959016393443,100,0,3.07377049180328,100,0,3.07377049180328,105.91680062603
"98","Farmer","Wisconsin",32,38,49,0,0,0,0,0,0,0,0,0
"99","Farmer","Wisconsin",304,364,304,33.2236842105263,100,100,0,0,0,21.3815789473684,89.010989010989,99.8828041776316
"100","Farmer","Wisconsin",97,97,97,0,100,100,0,0,0,0,100,0
"101","Decision influencer","Wisconsin",2429,2429,2429,16.6735282009057,20.0082338410869,33.3470564018114,0,0,0,16.6735282009057,16.6735282009057,8.333847254014
"102","Farmer","Wisconsin",24,15,28,0,0,42.8571428571429,0,0,42.8571428571429,0,0,43.3776749642857
"103","Decision influencer","Wisconsin",8097,8097,8097,0,6.00222304557243,75.003087563295,0,0,0,0,6.00222304557243,75.0015375324194
"104","Farmer","Wisconsin",57,77,57,0,100,100,0,0,0,0,0,0
"105","Farmer","Wisconsin",34,33,32,0,100,NA,0,0,0,0,0,NA
"106","Farmer","Wisconsin",168,134,162,0,100,100,0,0,0,0,60.4477611940298,99.9650122222222
"107","Decision influencer","Wisconsin",2024,3239,4049,0,0,0,0,0,0,0,0,4.99948505309953
"108","Decision influencer","Wisconsin",11,0,61,0,NA,100,NA,NA,100,0,NA,99.5553195737705
"109","Decision influencer","Wisconsin",32,30,30,0,0,0,0,0,0,0,0,0
"110","Decision influencer","Wisconsin",8097,8097,10121,24.996912436705,50.0061751265901,40.0059282679577,5.00185253797703,10.0037050759541,40.0059282679577,12.4984562183525,37.4953686550574,30.001356061654
"111","Decision influencer","Wisconsin",2024,2429,3239,0,24.9897076986414,87.4961407841927,0,8.31617949773569,37.511577647422,0,12.5154384520379,81.2466485643717
"112","Farmer","Wisconsin",1053,1377,1215,0,0,0,0,0,0,0,0,0
"113","Farmer","Wisconsin",113,113,93,0,64.6017699115044,100,0,0,100,0,31.858407079646,0
"114","Decision influencer","Wisconsin",18219,20243,21053,11.109281519293,16.0005927975103,19.2324134327649,11.109281519293,16.0005927975103,19.2324134327649,5.55464075964652,7.99782640912908,11.5382596209566
